shapeISO,shapeName,Population_2023,built_up_surface,n_health_facilities,baseyear,poor300_ln,poor420_ln,poor830_ln,prosgap2021,cases_2024,cases_2022,cases_2023,cases_2025,Province,year,Primary.School,Junior.High.School,Senior.High.School,Undergraduate,total_tourists_2023,HIV_cases_2023,syphilis_cases_2023,gonorrhea_cases_2023
TH-45,Roi Et Province,748067.8125,116926416,82,2023,0,0.0033,0.083,2.0687163,NA,NA,NA,NA, Roi Et ,2023,73482,37140,23450,5811,804841,175,328,228
TH-56,Phayao Province,274115.625,49895812,8,2023,0,0,0.0944,2.2671479,NA,NA,NA,NA, Phayao ,2023,23496,12165,8957,22118,1009648,41,96,161
TH-60,Nakhon Sawan Province,809349.4375,100005168,22,2023,0,0,0.0926,2.1477106,1,0,0,2, Nakhon Sawan ,2023,59994,31784,19730,8475,2210206,137,168,99
TH-39,Nong Bua Lam Phu Province,431229.5,42969096,20,2023,0,0,0.247,2.5974667,NA,NA,NA,NA, Nong Bua Lam Phu ,2023,32670,16137,8578,491,316435,69,23,22
TH-24,Chachoengsao Province,796914.875,97719824,13,2023,0,0,0.0191,1.5255513,2,0,4,0, Chachoengsao ,2023,52467,25150,13263,5108,5685948,106,228,95
TH-32,Surin Province,757422.625,115672016,53,2023,0,0,0.2114,2.5511245,0,0,1,0, Surin ,2023,90737,45300,25213,9004,1124789,141,475,281
TH-30,Nakhon Ratchasima Province,2373592.5,262728432,67,2023,0,0.0014,0.2178,2.3918512,2,0,4,3, Nakhon Ratchasima ,2023,170119,86756,53700,40020,7939895,290,568,356
TH-64,Sukhothai Province,615577.9375,58756960,17,2023,0,0.0021,0.1544,2.4041492,NA,NA,NA,NA, Sukhothai ,2023,33269,17334,10250,574,1182380,72,90,33
TH-76,Phetchaburi Province,470374.1563,59948412,9,2023,0,0,0.079,1.953765,0,0,1,2, Phetchaburi ,2023,31348,16069,10423,15127,10819466,42,110,104
TH-36,Chaiyaphum Province,707271.5,99812280,30,2023,0,0,0.1639,2.3827564,0,0,0,2, Chaiyaphum ,2023,68077,34244,20233,3765,1653013,112,241,152
TH-67,Phetchabun Province,775257.875,90461016,21,2023,0,0,0.1501,2.3098535,NA,NA,NA,NA, Phetchabun ,2023,31318,16069,10423,4136,2614622,119,301,100
TH-84,Surat Thani Province,1124727.125,105644944,79,2023,0,0,0.0513,1.770161,4,0,2,6, Surat Thani ,2023,87594,41165,23857,16944,7610366,123,422,148
TH-33,Si Sa Ket Province,600768.5,115031440,47,2023,0,0,0.217,2.6178189,NA,NA,NA,NA, Si Sa Ket ,2023,92106,49435,28623,7883,905901,121,502,434
TH-43,Nong Khai Province,353840.1875,45986516,23,2023,0,0,0.071,1.9815149,0,0,1,0, Nong Khai ,2023,32653,17254,10533,1771,3157890,70,182,125
TH-10,Bangkok,11942682,381387328,356,2023,0,0,0.0066,1.1346398,64,3,396,24,Bangkok,2023,375132,194086,153845,684014,56263370,1121,2854,1449
TH-40,Khon Kaen Province,1623423,170935872,219,2023,0,0,0.0316,1.9834114,5,0,8,1, Khon Kaen  ,2023,112099,58692,38057,39614,3923536,369,685,446
TH-42,Loei Province,406948.1563,62132100,24,2023,0,0,0.0498,2.0396894,NA,NA,NA,NA, Loei ,2023,42236,21461,13160,6252,2173453,84,130,116
TH-19,Saraburi Province,864335.6875,87640880,16,2023,0,0,0.045,1.5879345,0,0,3,0, Saraburi ,2023,45277,22211,12080,1903,4387622,114,177,98
TH-61,Uthai Thani Province,239938.5156,30459360,5,2023,0.0056,0.0056,0.1748,2.4484595,NA,NA,NA,NA, Uthai Thani ,2023,20432,10634,6931,866,982106,35,68,45
TH-86,Chumphon Province,427694.9063,50747264,15,2023,0,0,0.0368,1.7533981,NA,NA,NA,NA, Chumphon ,2023,38965,18455,10171,2160,1584245,46,63,26
TH-46,Kalasin,596319.75,84782760,71,2023,0,0.0046,0.1936,2.5397071,0,0,3,0, Kalasin ,2023,59324,30275,20472,3834,919202,143,271,129
TH-65,Phitsanulok Province,1007847,83579392,28,2023,0,0,0.0605,1.9804525,1,0,0,0, Phisanulok ,2023,50486,26060,18168,38650,2929164,153,456,170
TH-85,Ranong Province,385244.9688,12271942,5,2023,0.0054,0.0054,0.1799,2.3635751,NA,NA,NA,NA, Ranong ,2023,15655,6196,3384,254,716123,21,57,18
TH-41,Udon Thani Province,906439.5625,135965200,69,2023,0,0,0.0981,2.1438166,5,0,2,0, Udon Thani ,2023,100405,51657,26522,13263,4333790,248,584,272
TH-47,Sakon Nakhon Province,704866.75,99775384,191,2023,0,0.0019,0.1734,2.4724648,NA,NA,NA,NA, Sakon Nakhon ,2023,77676,40148,23810,15407,1631112,152,29,54
TH-57,Chiang Rai Province,1085046.75,120203936,75,2023,0,0,0.3051,2.9295419,0,0,11,0, Chiang Rai ,2023,88744,39414,24388,22845,6147860,212,1006,777
TH-63,Tak Province,502493.3438,33989088,22,2023,0,0.0058,0.3012,2.7069982,NA,NA,NA,NA, Tak ,2023,60705,22616,12195,3148,2157226,74,27,94
TH-73,Nakhon Pathom Province,1085963.75,118141432,34,2023,0,0,0.0043,1.5876244,0,0,3,0, Nakhon Pathom ,2023,65310,33023,24749,46376,3656542,98,157,85
TH-51,Lamphun Province,374469.1563,56126184,8,2023,0,0,0.025,1.7016565,1,0,0,0, Lamphun ,2023,23818,11246,7199,384,1265410,44,18,33
TH-23,Trat Province,275172.5313,24832580,9,2023,0,0.0035,0.0964,2.0250131,NA,NA,NA,NA, Trat ,2023,17219,7668,4113,101,1863394,29,169,43
TH-70,Ratchaburi Province,719296.1875,112814120,23,2023,0,0.0019,0.0442,1.7854977,NA,NA,NA,NA, Ratchaburi ,2023,61212,29709,16744,4792,2362698,67,137,71
TH-35,Yasothon Province,348177.5,47405480,18,2023,0,0,0.072,2.2241371,NA,NA,NA,NA, Yasothon ,2023,32156,16420,9342,453,505391,51,55,91
TH-54,Phrae Province,303266.5,45022396,12,2023,0,0,0.1532,2.2892901,0,0,2,1, Phrae ,2023,20403,11151,7303,1792,1279316,38,73,76
TH-95,Yala Province,409230.6875,31424368,9,2023,0,0.0079,0.1813,2.4737973,NA,NA,NA,NA, Yala ,2023,56650,24733,17485,11018,1657692,34,38,40
TH-53,Uttaradit Province,345803.125,45420444,18,2023,0,0.0019,0.193,2.43468,NA,NA,NA,NA, Uttaradit ,2023,23410,12446,7291,5245,1030311,57,41,38
TH-31,Buri Ram Province,872294.75,135879088,48,2023,0,0,0.1246,2.33811,0,0,5,0, Buri Ram ,2023,104694,53890,32576,12087,3449347,158,519,338
TH-62,Kamphaeng Phet Province,855219.0625,66387108,9,2023,0,0,0.0997,2.1402532,NA,NA,NA,NA, Kamphaeng Phet ,2023,45381,22561,13658,5014,823564,108,178,127
TH-52,Lampang Province,601439.4375,80895904,30,2023,0,0.0021,0.1287,2.158074,1,0,2,0, Lampang ,2023,33709,17420,11440,10898,1667803,72,159,142
TH-12,Nonthaburi Province,2212055,103272768,53,2023,0,0,0,1.0506012,11,2,52,17, Nonthaburi ,2023,74263,37354,25815,34749,3694223,231,248,124
TH-38,Bueng Kan Province,288160.625,36084020,26,2023,0,0,0.0391,1.847641,NA,NA,NA,NA, Bungkan ,2023,30973,15172,9022,0,853426,50,75,69
TH-96,Narathiwat Province,596988.8125,43410528,16,2023,0,0.0175,0.2988,2.7944701,NA,NA,NA,NA, Narathiwat ,2023,80967,32489,21952,4577,791999,51,1,14
TH-34,Ubon Ratchathani Province,1590092,163182720,91,2023,0,0,0.3196,2.8223646,1,0,3,0, Ubon Ratchathani ,2023,126375,64733,37445,16112,3022297,200,620,433
TH-77,Prachuap Khiri Khan Province,450101,57973924,51,2023,0,0,0.0327,1.7253879,0,0,4,0, Prachuapkhiri Khan ,2023,41867,19216,10457,2206,11143079,38,98,108
TH-90,Songkhla Province,1684268.25,114836656,30,2023,0,0,0.0488,1.8310627,8,0,5,3, Songkhla ,2023,115528,53131,32603,53199,5128081,160,406,238
TH-83,Phuket Province,1151736.25,42369448,81,2023,0,0,0,1.1418666,2,5,24,11, Phuket ,2023,34285,15354,8709,7795,11300498,98,357,169
TH-15,Ang Thong Province,209490.9063,27839382,20,2023,0,0.0013,0.1035,2.2055705,0,0,0,1, Ang Thong ,2023,16283,9413,5872,422,1034507,37,30,14
TH-44,Maha Sarakham Province,602869.9375,91679848,70,2023,0,0,0.0779,2.0249806,2,3,1,0, Maha Sarakham ,2023,53269,26972,17545,53171,760256,185,162,338
TH-92,Trang Province,517077,47549232,14,2023,0,0,0.1415,2.2331589,NA,NA,NA,NA, Trang ,2023,47859,24195,16346,3888,1369940,39,47,71
TH-72,Suphan Buri Province,723765.4375,93009056,10,2023,0,0.0036,0.0769,2.1178848,2,0,2,1, Suphan Buri ,2023,50746,26330,15899,3912,6696180,68,85,53
TH-17,Sing Buri Province,142374.3281,21824870,5,2023,0,0.001,0.0873,1.9771684,NA,NA,NA,NA, Sing Buri ,2023,11833,6453,3433,0,749436,27,26,16
TH-75,Samut Songkhram Province,143557.4063,17303250,3,2023,0,0,0.0621,1.8881864,NA,NA,NA,NA, Samut Songkram ,2023,10832,5672,3112,772,6655028,13,68,23
TH-21,Rayong Province,1348519.75,139493168,58,2023,0,0,0.0087,1.1495487,14,0,11,1, Rayong ,2023,67136,32116,17127,3785,4919174,112,680,383
TH-25,Prachin Buri Province,803667.8125,72979240,13,2023,0,0.0031,0.1315,2.1759123,0,0,5,0, Prachin Buri ,2023,37564,18489,10098,1599,1288638,82,255,108
TH-14,Phra Nakhon Si Ayutthaya Province,1044826.625,91408072,20,2023,0,0,0.0323,1.6235071,1,0,1,0, Phra Nakhon Si Ayutthaya ,2023,146760,26337,14323,10977,10250901,149,166,46
TH-66,Phichit Province,444817.7813,45678240,4,2023,0,0.0009,0.0506,2.1259134,NA,NA,NA,NA, Phichit ,2023,30065,16006,9791,1959,754343,65,61,66
